ARN[0000] Config "/etc/crictl.yaml" does not exist, trying next: "/usr/bin/crictl.yaml"
WARN[0000] runtime connect using default endpoints: [unix:///run/containerd/containerd.sock unix:///run/crio/crio.sock unix:///var/run/cri-dockerd.sock]. As the default settings are now deprecated, you should set the endpoint instead.
WARN[0000] Image connect using default endpoints: [unix:///run/containerd/containerd.sock unix:///run/crio/crio.sock unix:///var/run/cri-dockerd.sock]. As the default settings are now deprecated, you should set the endpoint instead.
WARN[0000] Config "/etc/crictl.yaml" does not exist, trying next: "/usr/bin/crictl.yaml"
WARN[0000] runtime connect using default endpoints: [unix:///run/containerd/containerd.sock unix:///run/crio/crio.sock unix:///var/run/cri-dockerd.sock]. As the default settings are now deprecated, you should set the endpoint instead.
W0327 14:56:52.230022       1 genericapiserver.go:767] Skipping API storage.k8s.io/v1beta1 because it has no resources.
W0327 14:56:52.230026       1 genericapiserver.go:767] Skipping API storage.k8s.io/v1alpha1 because it has no resources.
I0327 14:56:52.230901       1 handler.go:286] Adding GroupVersion flowcontrol.apiserver.k8s.io v1 to ResourceManager
W0327 14:56:52.230948       1 genericapiserver.go:767] Skipping API flowcontrol.apiserver.k8s.io/v1beta3 because it has no resources.
W0327 14:56:52.230953       1 genericapiserver.go:767] Skipping API flowcontrol.apiserver.k8s.io/v1beta2 because it has no resources.
W0327 14:56:52.230956       1 genericapiserver.go:767] Skipping API flowcontrol.apiserver.k8s.io/v1beta1 because it has no resources.
I0327 14:56:52.239059       1 handler.go:286] Adding GroupVersion apps v1 to ResourceManager
W0327 14:56:52.239286       1 genericapiserver.go:767] Skipping API apps/v1beta2 because it has no resources.
W0327 14:56:52.239297       1 genericapiserver.go:767] Skipping API apps/v1beta1 because it has no resources.
I0327 14:56:52.242394       1 handler.go:286] Adding GroupVersion admissionregistration.k8s.io v1 to ResourceManager
W0327 14:56:52.242448       1 genericapiserver.go:767] Skipping API admissionregistration.k8s.io/v1beta1 because it has no resources.
W0327 14:56:52.242454       1 genericapiserver.go:767] Skipping API admissionregistration.k8s.io/v1alpha1 because it has no resources.
I0327 14:56:52.243303       1 handler.go:286] Adding GroupVersion events.k8s.io v1 to ResourceManager
W0327 14:56:52.243341       1 genericapiserver.go:767] Skipping API events.k8s.io/v1beta1 because it has no resources.
I0327 14:56:52.255006       1 handler.go:286] Adding GroupVersion apiregistration.k8s.io v1 to ResourceManager
W0327 14:56:52.255062       1 genericapiserver.go:767] Skipping API apiregistration.k8s.io/v1beta1 because it has no resources.
I0327 14:56:52.639836       1 dynamic_cafile_content.go:161] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
I0327 14:56:52.639983       1 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
I0327 14:56:52.640349       1 secure_serving.go:213] Serving securely on [::]:6443
I0327 14:56:52.640506       1 dynamic_serving_content.go:135] "Starting controller" name="serving-cert::/etc/kubernetes/pki/apiserver.crt::/etc/kubernetes/pki/apiserver.key"
I0327 14:56:52.656740       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
I0327 14:56:52.657175       1 customresource_discovery_controller.go:292] Starting DiscoveryController
I0327 14:56:52.657435       1 cluster_authentication_trust_controller.go:462] Starting cluster_authentication_trust_controller controller
I0327 14:56:52.657512       1 shared_informer.go:313] Waiting for caches to sync for cluster_authentication_trust_controller
I0327 14:56:52.657869       1 controller.go:80] Starting OpenAPI V3 AggregationController
I0327 14:56:52.658056       1 gc_controller.go:78] Starting apiserver lease garbage collector
I0327 14:56:52.658173       1 controller.go:78] Starting OpenAPI AggregationController
I0327 14:56:52.658516       1 dynamic_serving_content.go:135] "Starting controller" name="aggregator-proxy-cert::/etc/kubernetes/pki/front-proxy-client.crt::/etc/kubernetes/pki/front-proxy-client.key"
I0327 14:56:52.658856       1 apiservice_controller.go:100] Starting APIServiceRegistrationController
I0327 14:56:52.658871       1 cache.go:32] Waiting for caches to sync for APIServiceRegistrationController controller
I0327 14:56:52.658943       1 system_namespaces_controller.go:66] Starting system namespaces controller
I0327 14:56:52.659020       1 controller.go:119] Starting legacy_token_tracking_controller
I0327 14:56:52.659024       1 shared_informer.go:313] Waiting for caches to sync for configmaps
I0327 14:56:52.659035       1 local_available_controller.go:156] Starting LocalAvailability controller
I0327 14:56:52.659038       1 cache.go:32] Waiting for caches to sync for LocalAvailability controller
I0327 14:56:52.659053       1 aggregator.go:169] waiting for initial CRD sync...
I0327 14:56:52.659467       1 remote_available_controller.go:411] Starting RemoteAvailability controller
I0327 14:56:52.659474       1 cache.go:32] Waiting for caches to sync for RemoteAvailability controller
I0327 14:56:52.659491       1 apf_controller.go:377] Starting API Priority and Fairness config controller
I0327 14:56:52.665488       1 crdregistration_controller.go:114] Starting crd-autoregister controller
I0327 14:56:52.665517       1 shared_informer.go:313] Waiting for caches to sync for crd-autoregister
I0327 14:56:52.668394       1 controller.go:142] Starting OpenAPI controller
I0327 14:56:52.668662       1 controller.go:90] Starting OpenAPI V3 controller
I0327 14:56:52.668840       1 naming_controller.go:294] Starting NamingConditionController
I0327 14:56:52.669038       1 establishing_controller.go:81] Starting EstablishingController
I0327 14:56:52.669196       1 nonstructuralschema_controller.go:195] Starting NonStructuralSchemaConditionController
I0327 14:56:52.669283       1 apiapproval_controller.go:189] Starting KubernetesAPIApprovalPolicyConformantConditionController
I0327 14:56:52.669388       1 crd_finalizer.go:269] Starting CRDFinalizer
I0327 14:56:52.669567       1 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
I0327 14:56:52.669827       1 dynamic_cafile_content.go:161] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
E0327 14:56:52.742917       1 repair.go:326] "Unhandled Error" err="the cluster IP 10.96.0.10 may have leaked: flagging for later clean up" logger="UnhandledError"
I0327 14:56:52.758647       1 shared_informer.go:320] Caches are synced for cluster_authentication_trust_controller
I0327 14:56:52.759167       1 cache.go:39] Caches are synced for LocalAvailability controller
I0327 14:56:52.759402       1 shared_informer.go:320] Caches are synced for configmaps
I0327 14:56:52.759525       1 apf_controller.go:382] Running API Priority and Fairness config worker
I0327 14:56:52.759541       1 apf_controller.go:385] Running API Priority and Fairness periodic rebalancing process
I0327 14:56:52.759694       1 cache.go:39] Caches are synced for APIServiceRegistrationController controller
I0327 14:56:52.760083       1 cache.go:39] Caches are synced for RemoteAvailability controller
